start_place_name,end_place_name,month,count
Assistentinpolku,Kupittaankatu,2019-01,1
Assistentinpolku,Kupittaankatu,2019-02,2
Assistentinpolku,Kupittaankatu,2019-03,4
Assistentinpolku,Kupittaankatu,2019-04,13
Assistentinpolku,Kupittaankatu,2019-05,4
Assistentinpolku,Kupittaankatu,2019-06,2
Assistentinpolku,Kupittaankatu,2019-07,2
Assistentinpolku,Kupittaankatu,2019-08,3
Assistentinpolku,Kupittaankatu,2019-09,4
Assistentinpolku,Kupittaankatu,2019-10,4
Assistentinpolku,Kupittaankatu,2019-11,3
Assistentinpolku,Kupittaankatu,2019-12,5
Assistentinpolku,Kupittaankatu,2020-01,6
Assistentinpolku,Kupittaankatu,2020-02,2
Assistentinpolku,Kupittaankatu,2020-03,2
Assistentinpolku,Kupittaanpuisto,2018-05,12
Assistentinpolku,Kupittaanpuisto,2018-06,11
Assistentinpolku,Kupittaanpuisto,2018-07,4
Assistentinpolku,Kupittaanpuisto,2018-08,8
Assistentinpolku,Kupittaanpuisto,2018-09,11
Assistentinpolku,Kupittaanpuisto,2018-10,17
Assistentinpolku,Kupittaanpuisto,2018-11,10
Assistentinpolku,Kupittaanpuisto,2018-12,4
Assistentinpolku,Kupittaanpuisto,2019-01,13
Assistentinpolku,Kupittaanpuisto,2019-02,11
Assistentinpolku,Kupittaanpuisto,2019-03,10
Assistentinpolku,Kupittaanpuisto,2019-04,23
Assistentinpolku,Kupittaanpuisto,2019-05,11
Assistentinpolku,Kupittaanpuisto,2019-06,9
Assistentinpolku,Kupittaanpuisto,2019-07,2
Assistentinpolku,Kupittaanpuisto,2019-08,9
Assistentinpolku,Kupittaanpuisto,2019-09,25
Assistentinpolku,Kupittaanpuisto,2019-10,20
Assistentinpolku,Kupittaanpuisto,2019-11,20
Assistentinpolku,Kupittaanpuisto,2019-12,6
Assistentinpolku,Kupittaanpuisto,2020-01,15
Assistentinpolku,Kupittaanpuisto,2020-02,14
Assistentinpolku,Kupittaanpuisto,2020-03,4
Assistentinpolku,Kurjenkaivonkenttä,2018-05,21
Assistentinpolku,Kurjenkaivonkenttä,2018-06,16
Assistentinpolku,Kurjenkaivonkenttä,2018-07,10
Assistentinpolku,Kurjenkaivonkenttä,2018-08,14
Assistentinpolku,Kurjenkaivonkenttä,2018-09,46
Assistentinpolku,Kurjenkaivonkenttä,2018-10,35
Assistentinpolku,Kurjenkaivonkenttä,2018-11,40
Assistentinpolku,Kurjenkaivonkenttä,2018-12,21
Assistentinpolku,Kurjenkaivonkenttä,2019-01,20
Assistentinpolku,Kurjenkaivonkenttä,2019-02,14
Assistentinpolku,Kurjenkaivonkenttä,2019-03,19
Assistentinpolku,Kurjenkaivonkenttä,2019-04,22
Assistentinpolku,Kurjenkaivonkenttä,2019-05,21
Assistentinpolku,Kurjenkaivonkenttä,2019-06,26
Assistentinpolku,Kurjenkaivonkenttä,2019-07,13
Assistentinpolku,Kurjenkaivonkenttä,2019-08,32
Assistentinpolku,Kurjenkaivonkenttä,2019-09,34
Assistentinpolku,Kurjenkaivonkenttä,2019-10,21
Assistentinpolku,Kurjenkaivonkenttä,2019-11,13
Assistentinpolku,Kurjenkaivonkenttä,2019-12,3
Assistentinpolku,Kurjenkaivonkenttä,2020-01,6
Assistentinpolku,Kurjenkaivonkenttä,2020-02,9
Assistentinpolku,Kurjenkaivonkenttä,2020-03,3
Assistentinpolku,Kävelykatu,2018-05,14
Assistentinpolku,Kävelykatu,2018-06,13
Assistentinpolku,Kävelykatu,2018-07,16
Assistentinpolku,Kävelykatu,2018-08,12
Assistentinpolku,Kävelykatu,2018-09,22
Assistentinpolku,Kävelykatu,2018-10,23
Assistentinpolku,Kävelykatu,2018-11,10
Assistentinpolku,Kävelykatu,2018-12,8
Assistentinpolku,Kävelykatu,2019-01,10
Assistentinpolku,Kävelykatu,2019-02,9
Assistentinpolku,Kävelykatu,2019-03,21
Assistentinpolku,Kävelykatu,2019-04,41
Assistentinpolku,Kävelykatu,2019-05,28
Assistentinpolku,Kävelykatu,2019-06,14
Assistentinpolku,Kävelykatu,2019-07,16
Assistentinpolku,Kävelykatu,2019-08,15
Assistentinpolku,Kävelykatu,2019-09,21
Assistentinpolku,Kävelykatu,2019-10,12
Assistentinpolku,Kävelykatu,2019-11,5
Assistentinpolku,Kävelykatu,2019-12,7
Assistentinpolku,Kävelykatu,2020-01,16
Assistentinpolku,Kävelykatu,2020-02,11
Assistentinpolku,Kävelykatu,2020-03,4
Assistentinpolku,Kävelykatu,2020-04,1
Assistentinpolku,Linja-autoasema,2018-05,19
Assistentinpolku,Linja-autoasema,2018-06,19
Assistentinpolku,Linja-autoasema,2018-07,6
Assistentinpolku,Linja-autoasema,2018-08,15
Assistentinpolku,Linja-autoasema,2018-09,36
Assistentinpolku,Linja-autoasema,2018-10,49
Assistentinpolku,Linja-autoasema,2018-11,50
Assistentinpolku,Linja-autoasema,2018-12,28
Assistentinpolku,Linja-autoasema,2019-01,26
Assistentinpolku,Linja-autoasema,2019-02,25
Assistentinpolku,Linja-autoasema,2019-03,25
Assistentinpolku,Linja-autoasema,2019-04,87
Assistentinpolku,Linja-autoasema,2019-05,40
Assistentinpolku,Linja-autoasema,2019-06,25
Assistentinpolku,Linja-autoasema,2019-07,8
Assistentinpolku,Linja-autoasema,2019-08,27
Assistentinpolku,Linja-autoasema,2019-09,55
Assistentinpolku,Linja-autoasema,2019-10,52
Assistentinpolku,Linja-autoasema,2019-11,47
Assistentinpolku,Linja-autoasema,2019-12,21
Assistentinpolku,Linja-autoasema,2020-01,32
Assistentinpolku,Linja-autoasema,2020-02,33
